clase_es,clase_en,codigo_clase,modo,categoria_legible,resultado_legible,nota
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tablones ébano envejecido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tablones ébano podrido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tronco colocado envejecido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tronco sin corteza muy envejecido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tronco sin corteza podrido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Tronco sin corteza muy podrido vertical ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Ladrillos de piedra envejecidos tipo de piedra ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Roca pulida antigua bloque completo tipo de roca ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Madera y piedra envejecida,Roca pulida antigua adoquinado tipo de roca ×16,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
Archivista,Archivist,archivist,mesa de crafteo normal,Banderas y decoración colgante,Objeto decorativo de ruinas ×1,—
